"","Variable","MR1","MR12","MR4","MR3","MR2","MR6","MR11","MR5","MR10","MR7","MR8","MR13","MR9","MR14","MR15","Complexity","Uniqueness"
"1","GAD7_Q3_worrying_too_much_recode",0.894060411627082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03715981068969,0.221095231899436
"2","GAD7_Q2_cannot_stop_worrying_recode",0.877936833672014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01444172698221,0.227983854609717
"3","GAD7_Q7_afraid_something_bad_recode",0.720723221042624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09038055823363,0.365875838487959
"4","GAD7_Q4_trouble_relaxing_recode",0.68918930651824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.20370616671777,0.294970504599643
"5","GAD7_Q1_Feeling_nervous_Recode",0.662357093048411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15842270382887,0.332890947327482
"6","GAD7_Q5_restless_recode",0.540536270593099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6093252468236,0.400072243473372
"7","GAD7_Q6_irritable_recode",0.535287422295008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.61096532574678,0.390089809717122
"8","PHQ9_Q4_tired_low_energy_recode",NA,0.770815479611651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07817457774287,0.343401935792441
"9","PHQ9_Q5_Poor_appetite_overeating_recode",NA,0.681948663644586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05432282281836,0.434101259388604
"10","PHQ9_Q3_Trouble_sleep_recode",NA,0.681085462231011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0718247471455,0.435233369060726
"11","PHQ9_Q6_Feeling_bad_about_self_recode",NA,0.527110272659331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52019586368431,0.394553869418707
"12","PHQ9_Q2_Feeling_down_recode",NA,0.521439825492112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.61784840979396,0.402929117751907
"13","PHQ9_Q7_Trouble_concentrating_recode",NA,0.49225503030502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.88429721691304,0.42161984767578
"14","PHQ9_Q8_thinking_slowly_fidgety_recode",NA,0.417598505945176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.12405772561189,0.443754688449325
"15","PHQ9_Q9_SI_Thoughts_recode",NA,0.366050802976468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.92404662591285,0.455428184668396
"16","PHQ9_Q10_Impact_of_Problems_recode",NA,0.358215650509606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.28645683392219,0.499933666608921
"17","Coping_alcohol_drugs",NA,0.27257651542004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.62356791479162,0.715897224636955
"18","Covid_wellbeing_Emotional_recode",NA,NA,0.863846661563984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0538463749283,0.238765199989172
"19","Covid_wellbeing_psychological_recode",NA,NA,0.811769939260254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0649343256133,0.279766149028942
"20","Covid_wellbeing_overall_recode",NA,NA,0.769528612253146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05073747780618,0.345178602470082
"21","Covid_Wellbeing_Physical_recode",NA,NA,0.727031787384565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15222513134967,0.421778334767149
"22","Covid_wellbeing_financial_recode",NA,NA,0.589528151963763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.70123287282878,0.480131646261006
"23","Covid_wellbeing_social_recode",NA,NA,0.585603008014968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15796839989098,0.598512688412325
"24","Coping_nutrition",NA,NA,NA,0.690260808677756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08591000235825,0.511996085440546
"25","Coping_exercise",NA,NA,NA,0.671889372941526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04996037543082,0.532585446272579
"26","Coping_outdoors",NA,NA,NA,0.650493985394555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15215076229992,0.520911811202977
"27","Coping_pleasurable_activities",NA,NA,NA,0.531139933521218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.60323394976882,0.564540739372065
"28","Coping_spiritual",NA,NA,NA,0.495457335999713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63397943337897,0.642285819004128
"29","Protests_support_recode",NA,NA,NA,NA,0.738932888119883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11609141372925,0.417426473388062
"30","Protests_sympathy_recode",NA,NA,NA,NA,0.67553019093982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08760706715319,0.498857115839177
"31","Protests_appropriate_response_recode",NA,NA,NA,NA,0.563902361744854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59176242192741,0.638130521101537
"32","Prior_Covid_Racism",NA,NA,NA,NA,-0.535757653209181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5014705180881,0.573424852436354
"33","Followed_Protests_recode",NA,NA,NA,NA,0.469449861892888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.40681805182,0.567605521381375
"34","Covid_Racism_increased",NA,NA,NA,NA,-0.445514281497296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.80932454543694,0.70284760789348
"35","Population_density",NA,NA,NA,NA,-0.15540573015716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.60210618978257,0.95505584386833
"36","Prior_Covid_experienced_racial_discrimination_recode",NA,NA,NA,NA,NA,0.875174012066612,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01435308733861,0.263060125428383
"37","Covid_experienced_racial_discrimination_recode",NA,NA,NA,NA,NA,0.865960578689239,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01202306245721,0.254307860864933
"38","Coping_movies_TV_activities",NA,NA,NA,NA,NA,NA,0.508726189904061,NA,NA,NA,NA,NA,NA,NA,NA,1.70052956245079,0.536907466445
"39","Coping_distract_work",NA,NA,NA,NA,NA,NA,0.472831413943525,NA,NA,NA,NA,NA,NA,NA,NA,1.54843741260541,0.617113073664315
"40","Coping_optimism",NA,NA,NA,NA,NA,NA,0.384914149984543,NA,NA,NA,NA,NA,NA,NA,NA,2.58199714568529,0.625903179040217
"41","Coping_humor",NA,NA,NA,NA,NA,NA,0.344458351343527,NA,NA,NA,NA,NA,NA,NA,NA,4.06481055648938,0.590969358707836
"42","Coping_not_show_emotions",NA,NA,NA,NA,NA,NA,0.312032763248447,NA,NA,NA,NA,NA,NA,NA,NA,3.80223241155143,0.661096936314119
"43","Coping_emotional_support",NA,NA,NA,NA,NA,NA,0.309385282516526,NA,NA,NA,NA,NA,NA,NA,NA,3.00298960201751,0.714266620448545
"44","Number_household",NA,NA,NA,NA,NA,NA,NA,0.867295741813701,NA,NA,NA,NA,NA,NA,NA,1.03370066993098,0.23075835183536
"45","Number_adults_household",NA,NA,NA,NA,NA,NA,NA,0.784025939389486,NA,NA,NA,NA,NA,NA,NA,1.07847045924854,0.3784756498212
"46","Approval_Trump_Protests_recode",NA,NA,NA,NA,NA,NA,NA,NA,0.63819367430276,NA,NA,NA,NA,NA,NA,1.31790719147879,0.454773592839951
"47","Protests_police_good_job_recode",NA,NA,NA,NA,NA,NA,NA,NA,0.622338350942029,NA,NA,NA,NA,NA,NA,1.16090324249303,0.562300821410992
"48","Protests_propertydamanage_undermine_recode",NA,NA,NA,NA,NA,NA,NA,NA,0.361603637803321,NA,NA,NA,NA,NA,NA,3.33606178693614,0.742506533109312
"49","Academia_status",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.485282104232963,NA,NA,NA,NA,NA,1.43434337746365,0.701275792431654
"50","Protest_Participation",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.318266792951681,NA,NA,NA,NA,NA,3.41408374090618,0.661829272113584
"51","Political_views",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.312514169563731,NA,NA,NA,NA,NA,2.55060471872562,0.83098855469892
"52","Sexual_Orientation",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.276944473801834,NA,NA,NA,NA,NA,2.79508457187561,0.854083464974399
"53","Find_out_study",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.258373119001137,NA,NA,NA,NA,NA,4.60840616273974,0.753496177492613
"54","Age",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.107737886758437,NA,NA,NA,NA,NA,7.14898930233101,0.94523721560302
"55","Covid_dx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.817599053061711,NA,NA,NA,NA,1.0097976559291,0.344193585625191
"56","Covid_isolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.521414722804412,NA,NA,NA,NA,1.49446765730424,0.570553749856006
"57","Vote_2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.604629261868884,NA,NA,NA,1.16075143022697,0.568287480000457
"58","Political_affliation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.554248119936387,NA,NA,NA,1.13963634575999,0.723796547577463
"59","Covid_Vaccine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.240799631739344,NA,NA,NA,5.43339524325312,0.782439485290034
"60","Income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.660364587359583,NA,NA,1.07229040685066,0.545017633977566
"61","Education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.514061117564189,NA,NA,1.47262062235684,0.649390603263841
"62","Marital_status",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.293179884249706,NA,NA,5.08333604193565,0.773318451566109
"63","Covid_death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.553574633046516,NA,1.14241234815093,0.687665528756457
"64","Covid_family_Friends",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.498943575841541,NA,1.49978722023376,0.633082884908849
"65","Employment_status",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.450172257057184,2.10387140951877,0.676818918594641
